,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_6_hsgp_coeffs[39],0.469,0.864,-1.169,2.058,0.014,0.022,4053.0,1509.0,1.0
I_6_hsgp_coeffs[40],-0.454,0.879,-2.09,1.227,0.014,0.021,3833.0,1537.0,1.0
I_6_hsgp_coeffs[41],-0.255,0.901,-2.073,1.277,0.012,0.026,5906.0,1229.0,1.0
I_6_hsgp_coeffs[42],0.538,0.839,-1.001,2.158,0.013,0.021,4179.0,1331.0,1.0
I_6_hsgp_coeffs[43],-0.068,0.883,-1.784,1.527,0.014,0.024,4160.0,1313.0,1.0
I_6_hsgp_coeffs[44],-0.559,0.855,-2.297,0.909,0.014,0.021,3750.0,1502.0,1.0
I_6_hsgp_coeffs[45],0.379,0.887,-1.203,2.058,0.015,0.028,3376.0,1172.0,1.0
I_6_hsgp_coeffs[46],0.476,0.875,-1.17,2.05,0.013,0.021,4716.0,1523.0,1.0
I_6_hsgp_coeffs[47],-0.65,0.837,-2.273,0.927,0.014,0.022,3446.0,1336.0,1.0
I_6_hsgp_coeffs[48],-0.293,0.84,-1.967,1.162,0.013,0.02,3912.0,1563.0,1.0
I_6_hsgp_coeffs[49],0.83,0.809,-0.593,2.401,0.013,0.02,3779.0,1478.0,1.0
I_7_hsgp_coeffs[0],0.034,0.952,-1.734,1.914,0.016,0.021,3408.0,1556.0,1.0
I_7_hsgp_coeffs[1],-0.538,0.952,-2.237,1.281,0.013,0.028,5631.0,1439.0,1.01
I_7_hsgp_coeffs[2],0.19,0.957,-1.525,1.991,0.017,0.022,3215.0,1638.0,1.0
I_7_hsgp_coeffs[3],0.872,0.89,-0.7,2.572,0.014,0.022,3867.0,1470.0,1.0
I_7_hsgp_coeffs[4],-0.475,0.926,-2.19,1.167,0.014,0.022,4537.0,1369.0,1.0
I_7_hsgp_coeffs[5],-0.914,0.835,-2.448,0.596,0.013,0.021,4206.0,1256.0,1.0
I_7_hsgp_coeffs[6],0.654,0.899,-1.044,2.189,0.014,0.022,4101.0,1421.0,1.0
I_7_hsgp_coeffs[7],0.535,0.87,-1.043,2.149,0.013,0.024,4833.0,1232.0,1.0
I_7_hsgp_coeffs[8],-0.622,0.867,-2.33,0.928,0.014,0.025,3971.0,1151.0,1.0
I_7_hsgp_coeffs[9],-0.031,0.864,-1.607,1.612,0.011,0.024,5695.0,1294.0,1.0
I_7_hsgp_coeffs[10],0.358,0.903,-1.252,2.042,0.012,0.022,5415.0,1606.0,1.0
I_7_hsgp_coeffs[11],-0.424,0.849,-1.981,1.135,0.013,0.023,4060.0,1506.0,1.01
I_7_hsgp_coeffs[12],-0.075,0.871,-1.594,1.675,0.012,0.023,4971.0,1212.0,1.0
I_7_hsgp_coeffs[13],0.68,0.833,-0.853,2.246,0.013,0.021,4109.0,1478.0,1.0
I_7_hsgp_coeffs[14],-0.136,0.844,-1.807,1.367,0.014,0.02,3702.0,1478.0,1.0
I_7_hsgp_coeffs[15],-0.581,0.834,-2.135,0.975,0.012,0.023,4642.0,1420.0,1.0
I_7_hsgp_coeffs[16],0.131,0.874,-1.463,1.883,0.014,0.022,4171.0,1477.0,1.0
I_7_hsgp_coeffs[17],0.316,0.868,-1.388,1.829,0.012,0.023,5340.0,1113.0,1.0
I_7_hsgp_coeffs[18],0.045,0.855,-1.41,1.723,0.014,0.024,3641.0,1362.0,1.0
I_7_hsgp_coeffs[19],-0.016,0.866,-1.595,1.609,0.012,0.024,5593.0,1259.0,1.0
