,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_6[44],0.576,0.352,-0.041,1.269,0.008,0.008,1836.0,2249.0,1.0
I_6[45],0.607,0.356,0.001,1.325,0.009,0.008,1836.0,2303.0,1.0
I_6[46],0.604,0.355,-0.009,1.316,0.009,0.008,1847.0,2322.0,1.0
I_6[47],0.57,0.349,-0.028,1.277,0.008,0.008,1878.0,2351.0,1.0
I_6[48],0.508,0.34,-0.07,1.187,0.008,0.008,1918.0,2367.0,1.0
I_6[49],0.427,0.329,-0.129,1.1,0.008,0.008,1966.0,2202.0,1.0
I_6[50],0.335,0.319,-0.215,0.989,0.007,0.008,2017.0,2114.0,1.0
I_6[51],0.241,0.311,-0.355,0.83,0.007,0.008,2041.0,2126.0,1.0
I_6[52],0.156,0.307,-0.444,0.736,0.007,0.008,2056.0,2138.0,1.0
I_6[53],0.089,0.305,-0.497,0.679,0.007,0.008,2052.0,2136.0,1.0
I_6[54],0.047,0.304,-0.546,0.632,0.007,0.007,2031.0,2123.0,1.0
