,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_4[66],-0.373,0.291,-0.919,0.137,0.005,0.007,3252.0,2821.0,1.0
I_4[67],-0.404,0.294,-0.982,0.077,0.005,0.007,3202.0,2867.0,1.0
I_4[68],-0.447,0.3,-1.046,0.03,0.005,0.007,3159.0,2924.0,1.0
I_4[69],-0.501,0.307,-1.104,-0.004,0.006,0.007,3122.0,2915.0,1.0
I_4[70],-0.562,0.317,-1.198,-0.06,0.006,0.007,3099.0,2986.0,1.0
I_4[71],-0.619,0.327,-1.246,-0.082,0.006,0.007,3075.0,2973.0,1.0
I_4[72],-0.665,0.336,-1.319,-0.111,0.006,0.007,3061.0,2996.0,1.0
I_4[73],-0.691,0.343,-1.33,-0.097,0.006,0.007,3047.0,3119.0,1.0
I_4[74],-0.695,0.346,-1.344,-0.108,0.006,0.007,3008.0,3094.0,1.0
I_4[75],-0.679,0.346,-1.294,-0.059,0.006,0.007,3010.0,2862.0,1.0
I_4[76],-0.65,0.343,-1.304,-0.073,0.006,0.008,3018.0,2825.0,1.0
I_4[77],-0.62,0.338,-1.282,-0.064,0.006,0.008,3023.0,2847.0,1.0
I_4[78],-0.6,0.333,-1.193,0.001,0.006,0.008,2995.0,3064.0,1.0
I_4[79],-0.6,0.333,-1.198,-0.03,0.006,0.007,2994.0,2836.0,1.0
I_4[80],-0.625,0.346,-1.283,-0.063,0.006,0.008,3092.0,3042.0,1.0
mu_w_4[0],53.079,29.044,17.917,97.145,0.47,1.563,5234.0,3427.0,1.0
mu_w_4[1],28.633,11.759,12.594,46.858,0.184,0.731,6118.0,2910.0,1.0
mu_w_4[2],26.218,10.597,11.482,42.582,0.165,0.665,6038.0,3003.0,1.0
mu_w_4[3],23.73,9.648,10.924,39.301,0.152,0.62,6034.0,2940.0,1.0
mu_w_4[4],15.798,6.91,5.524,26.861,0.106,0.289,5924.0,2990.0,1.0
mu_w_4[5],26.821,10.856,12.265,43.966,0.17,0.655,6021.0,2842.0,1.0
mu_w_4[6],17.083,7.344,6.469,28.553,0.115,0.341,5975.0,2996.0,1.0
mu_w_4[7],12.923,6.236,3.694,23.07,0.097,0.273,5469.0,2962.0,1.0
I_5[0],-1.187,0.413,-1.931,-0.456,0.009,0.008,2110.0,2145.0,1.0
I_5[1],-1.291,0.433,-2.07,-0.53,0.009,0.008,2173.0,2065.0,1.0
I_5[2],-1.365,0.449,-2.167,-0.576,0.009,0.009,2196.0,2111.0,1.0
I_5[3],-1.408,0.459,-2.239,-0.6,0.009,0.009,2224.0,2134.0,1.0
I_5[4],-1.423,0.463,-2.305,-0.655,0.009,0.009,2253.0,2186.0,1.0
I_5[5],-1.412,0.461,-2.301,-0.655,0.009,0.009,2269.0,2199.0,1.0
I_5[6],-1.378,0.452,-2.252,-0.636,0.009,0.009,2273.0,2200.0,1.0
I_5[7],-1.325,0.439,-2.168,-0.604,0.009,0.008,2273.0,2138.0,1.0
I_5[8],-1.257,0.423,-2.067,-0.558,0.009,0.008,2268.0,2189.0,1.0
I_5[9],-1.177,0.404,-1.922,-0.478,0.008,0.008,2257.0,2176.0,1.0
I_5[10],-1.089,0.383,-1.826,-0.455,0.008,0.007,2239.0,2253.0,1.0
I_5[11],-0.996,0.362,-1.651,-0.358,0.008,0.007,2227.0,2211.0,1.0
I_5[12],-0.901,0.341,-1.509,-0.293,0.007,0.007,2213.0,2322.0,1.0
I_5[13],-0.806,0.32,-1.386,-0.245,0.007,0.006,2209.0,2395.0,1.0
I_5[14],-0.712,0.301,-1.24,-0.164,0.006,0.006,2202.0,2444.0,1.0
I_5[15],-0.62,0.284,-1.148,-0.133,0.006,0.006,2202.0,2765.0,1.0
I_5[16],-0.531,0.268,-1.032,-0.066,0.006,0.006,2200.0,2574.0,1.0
I_5[17],-0.446,0.255,-0.946,-0.015,0.006,0.006,2205.0,2708.0,1.0
I_5[18],-0.366,0.244,-0.883,0.02,0.005,0.005,2220.0,2585.0,1.0
I_5[19],-0.29,0.236,-0.746,0.132,0.005,0.005,2261.0,2823.0,1.0
I_5[20],-0.219,0.229,-0.677,0.185,0.005,0.005,2327.0,2713.0,1.0
I_5[21],-0.155,0.225,-0.601,0.244,0.005,0.005,2419.0,2694.0,1.0
I_5[22],-0.099,0.223,-0.526,0.314,0.005,0.005,2534.0,2769.0,1.0
