,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_2_hsgp_coeffs[27],-0.178,0.833,-1.705,1.406,0.014,0.02,3348.0,1436.0,1.0
I_2_hsgp_coeffs[28],0.696,0.84,-0.932,2.224,0.014,0.019,3733.0,1664.0,1.0
I_2_hsgp_coeffs[29],-0.039,0.847,-1.729,1.569,0.012,0.021,4655.0,1409.0,1.0
I_2_hsgp_coeffs[30],-0.769,0.887,-2.4,0.819,0.015,0.026,3568.0,1273.0,1.0
I_2_hsgp_coeffs[31],0.309,0.861,-1.202,2.056,0.014,0.02,3949.0,1461.0,1.0
I_2_hsgp_coeffs[32],0.457,0.841,-1.145,2.009,0.013,0.022,4196.0,1287.0,1.0
I_2_hsgp_coeffs[33],-0.476,0.874,-2.287,0.949,0.014,0.021,3765.0,1315.0,1.0
I_2_hsgp_coeffs[34],0.17,0.894,-1.411,1.912,0.014,0.024,3969.0,1361.0,1.0
I_2_hsgp_coeffs[35],0.487,0.875,-1.165,2.093,0.014,0.021,3962.0,1469.0,1.0
I_2_hsgp_coeffs[36],-0.712,0.915,-2.427,1.035,0.014,0.029,4159.0,1113.0,1.0
I_2_hsgp_coeffs[37],-0.335,0.861,-2.006,1.187,0.014,0.023,3672.0,1385.0,1.0
I_2_hsgp_coeffs[38],0.936,0.867,-0.647,2.548,0.014,0.022,3940.0,1649.0,1.0
I_2_hsgp_coeffs[39],0.076,0.883,-1.654,1.631,0.013,0.023,4735.0,1303.0,1.0
I_2_hsgp_coeffs[40],-0.56,0.842,-2.108,0.978,0.015,0.022,3159.0,1605.0,1.0
I_2_hsgp_coeffs[41],0.217,0.881,-1.451,1.795,0.014,0.024,3750.0,1278.0,1.0
I_2_hsgp_coeffs[42],-0.178,0.847,-1.845,1.326,0.015,0.02,3344.0,1368.0,1.0
I_2_hsgp_coeffs[43],-0.41,0.849,-1.842,1.275,0.014,0.024,3687.0,1365.0,1.0
I_2_hsgp_coeffs[44],0.929,0.818,-0.593,2.54,0.013,0.019,3845.0,1396.0,1.0
I_2_hsgp_coeffs[45],0.312,0.815,-1.141,1.922,0.015,0.02,3152.0,1727.0,1.0
I_2_hsgp_coeffs[46],-1.103,0.854,-2.665,0.518,0.014,0.022,3713.0,1608.0,1.0
I_2_hsgp_coeffs[47],0.241,0.832,-1.236,1.828,0.016,0.018,2878.0,1666.0,1.0
I_2_hsgp_coeffs[48],0.246,0.745,-1.123,1.644,0.019,0.017,1564.0,1498.0,1.0
I_2_hsgp_coeffs[49],-1.004,0.65,-2.142,0.271,0.013,0.014,2536.0,1528.0,1.0
I_3_hsgp_coeffs[0],-0.123,0.901,-1.742,1.582,0.014,0.022,4433.0,1531.0,1.0
I_3_hsgp_coeffs[1],-0.513,0.919,-2.2,1.236,0.015,0.026,4010.0,1150.0,1.0
I_3_hsgp_coeffs[2],0.145,0.927,-1.515,1.926,0.014,0.022,4077.0,1444.0,1.0
I_3_hsgp_coeffs[3],0.796,0.864,-0.895,2.323,0.014,0.02,3683.0,1624.0,1.0
I_3_hsgp_coeffs[4],-0.242,0.881,-1.716,1.464,0.013,0.02,4724.0,1540.0,1.0
I_3_hsgp_coeffs[5],-0.829,0.881,-2.459,0.692,0.016,0.022,2880.0,1301.0,1.0
I_3_hsgp_coeffs[6],0.433,0.841,-1.117,2.029,0.014,0.02,3666.0,1409.0,1.0
I_3_hsgp_coeffs[7],0.5,0.859,-1.235,1.992,0.013,0.02,4321.0,1562.0,1.0
I_3_hsgp_coeffs[8],-0.644,0.823,-2.18,0.902,0.016,0.019,2785.0,1474.0,1.0
I_3_hsgp_coeffs[9],-0.057,0.833,-1.528,1.567,0.014,0.02,3510.0,1566.0,1.0
I_3_hsgp_coeffs[10],0.742,0.882,-0.864,2.439,0.016,0.024,3196.0,1436.0,1.0
I_3_hsgp_coeffs[11],-0.386,0.834,-1.948,1.134,0.013,0.02,3895.0,1383.0,1.01
I_3_hsgp_coeffs[12],-0.743,0.888,-2.373,0.902,0.014,0.022,4167.0,1386.0,1.0
I_3_hsgp_coeffs[13],0.671,0.842,-0.999,2.127,0.014,0.022,3790.0,1374.0,1.0
I_3_hsgp_coeffs[14],0.589,0.837,-0.886,2.24,0.015,0.024,2937.0,1144.0,1.0
I_3_hsgp_coeffs[15],-0.667,0.923,-2.333,1.086,0.015,0.023,3891.0,1363.0,1.0
I_3_hsgp_coeffs[16],-0.365,0.838,-1.929,1.184,0.015,0.018,3047.0,1669.0,1.0
I_3_hsgp_coeffs[17],0.498,0.837,-1.16,1.982,0.014,0.021,3511.0,1325.0,1.0
I_3_hsgp_coeffs[18],0.236,0.872,-1.378,1.931,0.016,0.021,3156.0,1273.0,1.0
I_3_hsgp_coeffs[19],-0.226,0.842,-1.835,1.307,0.015,0.023,3219.0,1053.0,1.0
I_3_hsgp_coeffs[20],-0.205,0.873,-1.85,1.404,0.015,0.024,3200.0,1291.0,1.0
I_3_hsgp_coeffs[21],0.105,0.895,-1.536,1.729,0.014,0.023,4187.0,1519.0,1.0
I_3_hsgp_coeffs[22],0.297,0.855,-1.271,1.943,0.014,0.022,3929.0,1410.0,1.0
I_3_hsgp_coeffs[23],-0.132,0.868,-1.663,1.549,0.013,0.024,4462.0,1178.0,1.0
I_3_hsgp_coeffs[24],-0.461,0.89,-2.018,1.356,0.014,0.023,3962.0,1315.0,1.0
